Star,Constellation,Mass,Radius
Tau Boötis,Boötes,1.321,0.843
Qatar-2,Virgo,0.745,0.713
WASP-55,Virgo,1.011,1.055
HD 121504,Centaurus,1.01,1.066
HAT-P-12,Canes Venatici,0.735,0.695
WASP-23,Boötes,0.843,0.891
HD 122430,Hydra,1.394,22.859
HAT-P-26,Virgo,0.816,0.788
WASP-16,Virgo,1.022,0.946
HD 125612,Virgo,1.099,1.052
HD 125595,Centaurus,0.757,0.755
WASP-20,Libra,1.049,1.033
HD 126614 A,Virgo,1.154,1.095
HD 126525,Lupus,1.043,1.025
WASP-39,Virgo,0.925,0.895
HIP 70849,Lupus,0.633,0.626
HD 128311,Boötes,0.804,0.728
Alpha Centauri B,Centaurus,0.907,0.865
HD 129445,Circinus,0.99,0.917
HD 130322,Virgo,0.789,0.833
WASP-37,Virgo,0.849,0.977
HD 131496,Boötes,1.61,4.325
HAT-P-27/WASP-40,Virgo,0.905,0.878
HD 132406,Boötes,1.089,1.058
HD 132563 B,Boötes,1.006,0.987
CFBDS 1448,Boötes,0.024,0.088
WASP-24,Virgo,1.129,1.147
HD 134060,Circinus,1.152,1.182
23 Librae,Libra,1.047,1.206
HD 134606,Apus,1.062,1.362
WASP-58,Lupus,0.922,0.926
11 Ursae Minoris,Ursa Minor,1.746,24.082
HD 136418,Boötes,1.334,3.444
Gliese 581,Libra,0.311,0.378
HAT-P-4,Boötes,1.257,1.592
HD 136352,Lupus,0.996,1.039
Iota Draconis,Draco,1.052,13.499
Lupus-TR-3,Lupus,0.867,0.862
WASP-53,Norma,0.684,0.635
HD 139357,Draco,1.354,11.47
HD 137388,Apus,0.858,0.822
HD 330075,Norma,0.946,0.983
Kappa Coronae Borealis,Corona Borealis,1.853,4.731
HD 141937,Libra,1.023,1.056
NN Serpentis,Serpens,0.646,0.692
HD 142245,Serpens,1.689,5.165
HD 142415,Norma,1.089,1.032
WASP-17,Scorpius,1.196,1.376
HD 143361,Norma,0.955,0.983
XO-1,Corona Borealis,1.002,0.928
1RXS 1609,Scorpius,0.854,1.351
HD 145457,Corona Borealis,1.934,9.927
HD 142022 A,Octans,0.993,0.705
14 Herculis,Hercules,0.902,0.895
HD 145377,Scorpius,1.12,1.138
HIP 79431,Scorpius,0.491,0.547
HD 146389,Hercules,1.216,1.365
HAT-P-2,Hercules,1.298,1.412
HD 147018,Triangulum Australe,0.927,0.949
PSR B1620-26,Scorpius,1.352,0.000021
HD 147513,Scorpius,0.924,1.006
HD 148156,Norma,1.216,1.199
HD 148427,Ophiuchus,1.445,3.221
HD 149026,Hercules,1.346,1.452
HD 149143,Ophiuchus,1.215,1.358
HD 150433,Ophiuchus,0.957,0.995
HD 152079,Ara,1.023,0.998
HD 152581,Ophiuchus,0.927,4.844
WASP-70,Ophiuchus,1.048,1.146
Gliese 649,Hercules,0.542,0.621
HD 154345,Hercules,0.883,0.874
HD 154088,Ophiuchus,0.892,1.228
HD 153950,Scorpius,1.119,1.335
MOA-2008-BLG-310L,Scorpius,0.67,0.638
HAT-P-18,Hercules,0.773,0.749
HD 155358,Hercules,0.873,0.842
HD 154672,Ara,1.06,1.266
HD 154857,Ara,1.166,1.934
HD 156279,Ursa Major,0.933,0.913
GJ 1214,Ophiuchus,0.157,0.211
HD 156668,Hercules,0.875,0.895
Gliese 667 C,Scorpius,0.378,0.201
PSR J1719-1438,Serpens,1.43,0
HD 156411,Ara,1.254,1.148
HAT-P-14,Hercules,1.386,1.468
HD 157172,Ophiuchus,0.943,0.914
HD 158038,Hercules,1.645,4.75
Gliese 674,Ara,0.354,0.421
Gliese 676 A,Ara,0.599,0.71
HD 159868,Scorpius,1.095,1.066
Mu Arae,Ara,1.077,1.246
MOA-2009-BLG-266L,Scorpius,0.556,0.631
OGLE-2005-BLG-071L,Scorpius,0.458,0.414
OGLE-TR-10,Sagittarius,1.176,1.16
TrES-3,Hercules,0.902,0.802
OGLE-2006-BLG-109L,Sagittarius,0.513,0.721
TrES-4,Hercules,1.22,1.738
HD 163607,Draco,1.086,1.632
MOA-2009-BLG-387L,Sagittarius,0.188,0.171
OGLE-2005-BLG-390L,Scorpius,0.224,0.348
MOA-2011-BLG-293L,Sagittarius,0.444,0.587
OGLE-2007-BLG-368L,Scorpius,0.655,0.765
OGLE-TR-56,Sagittarius,1.172,1.32
SWEEPS-04,Sagittarius,1.235,1.176
SWEEPS-11,Sagittarius,1.001,1.453
HD 164509,Ophiuchus,1.13,1.063
HD 164922,Hercules,0.939,0.901
HD 164604,Sagittarius,0.798,0.832
OGLE-2003-BLG-235L,Sagittarius,0.63,0.762
OGLE-2005-BLG-169L,Sagittarius,0.488,0.65
HAT-P-31,Hercules,1.218,1.356
MOA-2009-BLG-319L,Sagittarius,0.626,0.731
MOA-2007-BLG-192L,Sagittarius,0.06,0.113
MOA-2007-BLG-400L,Sagittarius,0.348,0.371
HD 167042,Draco,1.643,4.299
HAT-P-5,Lyra,1.158,1.167
HD 168443,Serpens,1.056,1.627
HD 168746,Serpens,0.916,1.116
42 Draconis,Draco,0.981,22.027
WASP-60,Telescopium,0.875,1.365
HD 169830,Sagittarius,1.413,1.838
HD 170469,Ophiuchus,1.145,1.215
HD 171028,Ophiuchus,0.992,1.953
COROT-17,Serpens,1.008,1.024
WASP-3,Lyra,1.251,1.241
HD 171238,Sagittarius,0.943,0.916
COROT-23,Serpens,1.098,0.865
COROT-11,Serpens,1.266,1.37
